pair_id,question_id_1,title_1,body_excerpt_1,tags_1,question_id_2,title_2,body_excerpt_2,tags_2,initial_label,label_code,annotation_reason,title_similarity,same_baseline_cluster,review_status,reviewer_label,reviewer_name,review_notes
P001,595072,ORA-01830: date format picture ends before converting entire input string,The SQL works fine on most installations. However I'm having a problem with an Oracle installation in Canada (possible date localization issue?). http://www.google.com/search?q=ORA-01830 I'm feeding data to a proprietary processor that generates the SQL. I only provide data. I was hoping for informa,sql|oracle-database|ora-01830,53435273,ORA-01830: date format picture ends before converting entire input string 01830,"My query: SELECT COUNT(*) FROM pd_heat_data WHERE treatend_act LIKE TO_CHAR(current_date + 1,'YYYY-MM-DD%') AND ( ( TO_CHAR(TO_DATE(treatend_act,'YYYY-MM-DD HH24:MI:SS'),'HH24:MI:SS') &gt; '00:00:00' ) AND ( TO_CHAR(TO_DATE(treatend_act,'YYYY-MM-DD HH24:MI:SS'),'HH24:MI:SS') &lt; '06:00:00' ) ); Tab",sql|oracle-database,重复,1,核心关键词和问题表述高度一致，操作目标或故障现象相同,0.9882,1,待人工复核,,,
P002,24655163,Hierarchical Query sql,UPDATED QUESTION! I have a table with parent-child attributes: Parent_Id Child_Id Atribute1 Atribute2(colour) ---------- ---------- ---------- ---------- 1 name1 null 2 name2 null 1 3 name1.1 null 3 4 name1.1.1 grenn 3 5 name1.1.2 green 3 6 name1.1.3 null 1 7 name1.2 null 7 8 name1.2.1 green 7 9 nam,sql|oracle-database,24933104,hierarchical query on Oracle,"I'm trying to write a hierarchical query on Oracle that involves two tables: GeoNodes Name, uuid, lat, lon GeoParents parent_uuid, child_uuid Example data: GeoNodes Name UUID lat lon test1 123 0 0 test2 124 0 0 test3 125 0 0 test4 126 0 0 GeoParents parent_uuid child_uuid 123 124 123 125 124 126 In ",sql|oracle-database,重复,1,核心关键词和问题表述高度一致，操作目标或故障现象相同,0.9400,1,待人工复核,,,
P003,50893245,"ORA-04091: table is mutating, trigger/function may not see it","What happen with my trigger command? I am getting the 'SQL Error: ORA-04091: table is mutating, trigger/function may not see it"" when i am updating the data in the table. Could someone please me? Error: One error saving changes to table ""WSPADMIN"".""WSP_T_REQ_MASTER"": Row 22: ORA-04091: table WSPADMI",sql|oracle-database|plsql|triggers|database-trigger,71343429,"Oracle : ORA-04091: table AVIS is mutating, trigger/function may not see it","So, I'm a french student in IT, I've got this work like 4 weeks before, and I really can't get around this problem (I mainly worked on PostGRE and it's way different for me). I've got those two tables : link To resume, I've got one table LIVRES (which is book in French), where there's two attributes",sql|oracle-database|triggers,重复,1,核心关键词和问题表述高度一致，操作目标或故障现象相同,0.8991,1,待人工复核,,,
P004,52395235,Oracle sql developer connection - Status : Failure -Test failed: IO Error: The Network Adapter could not establish the connection,"I download oracle sql developer ""Windows 64-bit with JDK 8 included"" from oracle website /download section. I unzipped it and tried to make a connection. I tried couple of options but I am getting ""Status : Failure -Test failed: IO Error: The Network Adapter could not establish the connection"" error",oracle-database|database-connection|oracle-sqldeveloper,78646688,Status : Failure -Test failed: IO Error-The Network Adapter could not establish the connection,So i created a free account on Oracle Cloud. Created a New ADB. Now i am trying to connect SQL Developer to that ADB. But it is showing this error. i have checked: ! I have check the network setting and it can be accessed from anywhere. I made sure the path for walled file is correct. User ID and Pa,oracle-database|oracle-sqldeveloper|oracle-cloud-infrastructure,重复,1,核心关键词和问题表述高度一致，操作目标或故障现象相同,0.8964,1,待人工复核,,,
P005,1387917,ORA-01861: literal does not match format string,"When I try to execute this snippet: cmd.CommandText = ""SELECT alarm_id,definition_description,element_id, TO_CHAR (alarm_datetime, 'YYYY-MM-DD HH24:MI:SS'),severity, problem_text,status FROM aircom.alarms WHERE status = 1 and TO_DATE (alarm_datetime,'DD.MM.YYYY HH24:MI:SS') &gt; TO_DATE ('07.09.2008",sql|oracle-database|oracle10g|ora-01861,43116673,JDBC - ORA-01861: literal does not match format string 01861,"I have problem with retrieving a data from oracle data base I want to access data by using two JDatechoosers ... I use JDatechooser to store date value in database of type date. chooser=new JDateChooser(); chooser.setBounds (200, 175, 175, 25); chooser.setDateFormatString(""dd-MM-yyyy""); pstmt.setDat",java|oracle-database|date|jdbc|jdatechooser,重复,1,核心关键词和问题表述高度一致，操作目标或故障现象相同,0.8858,1,待人工复核,,,
P006,1387917,ORA-01861: literal does not match format string,"When I try to execute this snippet: cmd.CommandText = ""SELECT alarm_id,definition_description,element_id, TO_CHAR (alarm_datetime, 'YYYY-MM-DD HH24:MI:SS'),severity, problem_text,status FROM aircom.alarms WHERE status = 1 and TO_DATE (alarm_datetime,'DD.MM.YYYY HH24:MI:SS') &gt; TO_DATE ('07.09.2008",sql|oracle-database|oracle10g|ora-01861,36158085,01861-literal-does-not-match-format-string,"I have a query to select last 5 vehicle are recently reported. which is stored in ""VEHICLE_IN"" table. SELECT R.REG_NO FROM (SELECT G.REG_NO FROM VEHICLE_IN G INNER JOIN VEHICLE_MASTER M ON G.REG_NO=M.REG_NO WHERE to_date((IN_DATE||' '||IN_TIME),'YYYY-MM-DD HH24:MI') &gt;= (SYSDATE-30/1440) AND M.VEH",sql|oracle-database|oracle9i,重复,1,核心关键词和问题表述高度一致，操作目标或故障现象相同,0.8552,1,待人工复核,,,
P007,2285527,ORA-12154: TNS:could not resolve the connect identifier specified,I am trying to connect to oracle 11g installed on Linux EL 5 and and getting the following error SQL&gt; connect sys/password@ud06 as sysdba ERROR: ORA-12514: TNS:listener does not currently know of service requested in connect descriptor my listener.ora under network/admin is as follows LISTENER= (,oracle-database|oracle11g|listener|tnsnames|ora-12514,35772850,ORA-12154: TNS:could not resolve the connect identifier specified in VS 2013,"I had this same project working in VS2010, however when I switched to VS2013 I can no longer connect to the same Oracle DB. Steps that I have taken so far: Installed Oracle Developer Tools for VS2013 Nuget - Installed Official Oracle ODP.NET Manager Driver Nuget - Installed Official Oracle ODP.NET M",c#|asp.net|oracle-database|visual-studio-2013|oracle11g,重复,1,核心关键词和问题表述高度一致，操作目标或故障现象相同,0.8493,1,待人工复核,,,
P008,43074824,"ORA-04091: table CISTU018.TIMESHEET is mutating, trigger/function may not see it","I have created a trigger:(my before trigger worked well, but my instructor wanted me to do an after trigger, but it didn't work when I tried to fire the trigger) /*AFTER TRIGGER*/ SET SERVEROUTPUT ON; SET VERIFY OFF CREATE OR REPLACE TRIGGER HOUR_TIMESHEET AFTER INSERT ON TIMESHEET FOR EACH ROW DECL",oracle-database,50893245,"ORA-04091: table is mutating, trigger/function may not see it","What happen with my trigger command? I am getting the 'SQL Error: ORA-04091: table is mutating, trigger/function may not see it"" when i am updating the data in the table. Could someone please me? Error: One error saving changes to table ""WSPADMIN"".""WSP_T_REQ_MASTER"": Row 22: ORA-04091: table WSPADMI",sql|oracle-database|plsql|triggers|database-trigger,重复,1,核心关键词和问题表述高度一致，操作目标或故障现象相同,0.8323,1,待人工复核,,,
P009,30356182,Toad for oracle -- ORA-12514:TNS:listener does not currently know of service requested in connect descriptor,"I'm getting this error when connecting with Toad for Oracle. ORA-12514: TNS:listener does not currently know of service requested in connect descriptor Items Checked TNS_ADMIN environment variable is defined as ""D:\app\oracle\product\12.1.0\client_1\Network\Admin"" D:\app\oracle\product\12.1.0\client",oracle-database|toad,47005505,cx_Oracle.DatabaseError: ORA-12514: TNS:listener does not currently know of service requested in connect descriptor,"I am trying to do a sanity testing of newly installed Oracle client 12.2 in RHEL 7 linux from a Python program, but it fails with the above error, not sure what I am missing on there. Please help with this case : cx_Oracle.DatabaseError: ORA-12514: TNS:listener does not currently know of service req",python|linux|oracle-database|database-connection|cx-oracle,重复,1,核心关键词和问题表述高度一致，操作目标或故障现象相同,0.8183,1,待人工复核,,,
P010,59305765,"Oracle SQL ""invalid identifier error"" when trying to create a table","I have successfully built these tables: CREATE TABLE Tables ( tnum NUMBER(4) PRIMARY KEY, floor NUMBER(1), CHECK (floor &gt;= 0 AND floor &lt;= 4), capacity NUMBER(2), CHECK(capacity &gt;= 0 AND capacity &lt;= 25), location VARCHAR(50) ); CREATE TABLE Customer ( name VARCHAR(25), phone VARCHAR(16), ",sql|oracle-database,63043578,Invalid identifier when trying to create a table with SQL,I am trying to create a table and I get an invalid identifier error. What does this mean? I've looked over the code over and over. All of my other statements run perfectly. Can't figure out what the issue is with this. Here is the statement that returns the error: /* Create Transaction Table */ 31 C,sql|database|oracle-database|oracle-sqldeveloper|create-table,重复,1,核心关键词和问题表述高度一致，操作目标或故障现象相同,0.8156,1,待人工复核,,,
